Год,1,2,3,4,5,6,7,8,9,10,11,12
1991,0.308,0.294,0.337,0.373,0.438,0.493,0.541,0.548,0.613,0.703,0.839,1.195
1992,1.4,2.0,2.7,3.1,3.7,5.1,5.5,5.9,7.4,8.9,10.6,16.1
1993,15.3,19.1,23.6,30.6,37.5,47.4,56.0,65.4,80.9,93.0,101.5,141.2
1994,134.2,144.7,164.8,171.5,183.5,207.5,221.0,232.8,253.2,265.0,281.6,354.2
1995,302.6,321.0,361.5,386.2,429.9,480.6,499.5,520.6,564.5,594.5,615.7,735.5
1996,654.8,684.4,745.0,746.5,779.3,837.2,842.8,831.0,848.1,843.3,835.0,1017.1
1997,812.2,821.2,902.9,901.1,919.7,993.2,999.1,982.3,1026.2,1006.1,997.8,1214.8
1998,988.0,1000.0,1059.0,1040.0,1047.0,1122.0,1110.0,1052.0,1112.0,1123.0,1164.0,1482.0
1999,1167.0,1199.0,1385.0,1423.0,1472.0,1626.0,1618.0,1608.0,1684.0,1716.0,1789.0,2283.0
2000,1830.0,1839.0,2018.0,2039.0,2101.0,2294.0,2302.0,2289.0,2367.0,2425.0,2508.0,3025.0
2001,2733.0,2655.0,2964.0,2923.0,3054.0,3284.0,3364.0,3376.0,3405.0,3515.0,3578.0,4541.0
2002,3760.0,3725.0,4031.0,4110.0,4187.0,4460.0,4597.0,4511.0,4521.0,4646.0,4694.0,5738.0
2003,4696.0,4701.0,4986.0,5100.0,5221.0,5550.0,5615.0,5491.0,5556.0,5864.0,5990.0,7344.0
2004,5932.0,6141.0,6428.0,6448.0,6524.0,7003.0,6982.0,6873.0,6918.0,6908.0,7046.0,8799.0
2005,7346.0,7465.0,8093.0,8002.0,8089.0,8637.0,8651.0,8616.0,8829.0,8701.0,8931.0,11319.0
2006,9016.0,9255.0,9914.0,9833.0,10257.0,11106.0,10883.0,10853.0,11127.0,11046.0,11303.0,14263.0
2007,11430.0,11757.0,12448.0,12494.0,12787.0,13712.0,13546.0,13270.0,13677.0,13986.0,14656.0,18591.0
2008,14771.0,15354.0,16172.0,16538.0,16643.0,17715.0,17758.0,17244.0,17739.0,17643.0,17598.0,21681.0
2009,17119.0,17098.0,18129.0,18009.0,18007.0,19247.0,18872.0,18335.0,18838.0,18798.0,19215.0,24004.0
2010,18938.0,19017.0,20589.0,20358.0,20279.0,21795.0,21325.0,20753.0,20999.0,20970.0,21486.0,28027.0
2011,20669.0,20680.0,22673.0,22519.0,22779.0,24137.0,23598.0,23051.0,23468.0,23602.0,24296.0,32809.0
2012,23746.0,24036.0,25487.0,25800.0,26385.0,27494.0,26684.0,25718.0,25996.0,26803.0,27448.0,36450.0
2013,26840.0,26620.0,28693.0,30026.0,29723.0,30986.0,30229.0,29226.0,29346.0,30069.0,30290.0,39648.0
2014,29535.0,29255.0,31486.0,32947.0,32272.0,33726.0,32515.0,30763.0,31929.0,32439.0,32546.0,42136.0
2015,30929.0,31325.0,32642.0,34377.0,34380.0,35395.0,33901.0,32176.0,32911.0,33357.0,33347.0,43408.0
2016,32660.0,33873.0,35501.0,36497.0,37270.0,38447.0,35888.0,35405.0,35843.0,35749.0,36195.0,47554.0
2017,34422.0,35497.0,37899.0,39225.0,39679.0,41454.0,38073.0,37099.0,38047.0,38333.0,38848.0,51197.0
2018,39017.0,40443.0,42364.0,43381.0,44076.0,45848.0,42413.0,41364.0,41774.0,42332.0,42595.0,55569.0
2019,42263.0,43062.0,46324.0,48030.0,47926.0,49348.0,46509.0,44961.0,45541.0,46549.0,46285.0,62239.0
2020,46674.0,47257.0,50948.0,49306.0,50747.0,52123.0,50145.0,47649.0,49259.0,49539.0,49274.0,69278.0
2021,49516.0,51229.0,55208.0,56614.0,56171.0,58782.0,55170.0,52355.0,54687.0,54649.0,55639.0,77994.0
2022,55717.0,57344.0,66757.0,62269.0,62457.0,66572.0,62200.0,59907.0,61879.0,62470.0,63060.0,88468.0
2023,63260.0,65094.0,71334.0,,,,,,,,,